Name,ID
Coinbase Exchange,gdax
KuCoin,kucoin
Huobi,huobi
Bybit,bybit_spot
Kraken,kraken
Bitfinex,bitfinex
Binance,binance
Bitget,bitget
OKX,okex
Crypto.com Exchange,crypto_com
Binance US,binance_us
Phemex,phemex
Gemini,gemini
XT.COM,xt
BitMart,bitmart
Upbit,upbit
BKEX,bkex
BingX,bingx
Gate.io,gate
BTCEX,btcex
MEXC Global,mxc
WhiteBIT,whitebit
Hotbit,hotbit
EXMO,exmo
BtcTurk PRO,btcturk
Bitstamp,bitstamp
LATOKEN,latoken
Bitkub,bitkub
CoinEx,coinex
Bitbank,bitbank
Max Maicoin,max_maicoin
WOO X,wootrade
Bitso,bitso
Bittrex,bittrex
Kuna Exchange,kuna
Coinsbit,coinsbit
DigiFinex,digifinex
Bitrue,bitrue
Bithumb,bithumb
Tidex,tidex
Poloniex,poloniex
Dex-Trade,dextrade
Paribu,paribu
bitFlyer,bitflyer
FinexBox,finexbox
Kanga,kanga
Independent Reserve,independent_reserve
Indodax,indodax
Luno,luno
Okcoin,okcoin
Korbit,korbit
Blockchain.com,blockchain_com
Coinmetro,coin_metro
Coins.ph,coinspro
NiceHash,nice_hash
BitMEX,bitmex_spot
LBank,lbank
P2B,p2pb2b
Uniswap (Arbitrum One),uniswap_v3_arbitrum
Deepcoin,deepcoin
BigONE,bigone
PancakeSwap (v2),pancakeswap_new
Uniswap (v2),uniswap_v2
Coinstore,coinstore
Uniswap (Polygon),uniswap_v3_polygon_pos
BIT,bit_com
Bitvavo,bitvavo
Cryptology,cryptology
Uniswap (Optimism),uniswap_v3_optimism
FMFW.io,bitcoin_com
Trader Joe v2,traderjoe-v2-avalanche
AscendEX (BitMax),bitmax
BitBNS,bitbns
Orca,orca
Dodo (BSC),dodo_bsc
BTSE,btse
Kyberswap Elastic (Optimism),kyberswap_elastic_optimism
Osmosis,osmosis
Kyberswap Elastic (Arbitrum),kyberswap_elastic_arbitrum
KyberSwap Elastic (Ethereum),kyberswap_elastic
Sushiswap (Arbitrum One),sushiswap_arbitrum
Pancakeswap (Stableswap),pancakeswap_stableswap
Bitazza,bitazza
Thena,thena
GMO Japan,gmo_japan
Kyberswap Elastic (Polygon),kyberswap_elastic_polygon
Quickswap,quickswap
Camelot,camelot
Nominex,nominex
BTCMarkets,btcmarkets
BitoPro,bitopro
Bitci,bitci
Kyberswap Elastic (Avalanche),kyberswap_elastic_avalanche
Trader Joe v2 (Arbitrum),traderjoe-v2-arbitrum
Dodo (Polygon),dodo_polygon
VALR,valr
Katana,katana
CEX.IO,cex
WazirX,wazirx
Bitpanda Pro,bitpanda
